name,slug,product_code,brand_slug,category_slug,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,motor-hacmi,yakit-turu
RKS C1002v,rks-c1002v,RKS-C1002V,rks,scooter,590000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS C1002v, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,1002,Benzin
RKS Srt900sx,rks-srt900sx,RKS-SRT900SX,rks,sport,537400,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"RKS Srt900sx, sportif duruş ve performans odaklı bir model.",false,true,900,Benzin
RKS Svt650x,rks-svt650x,RKS-SVT650X,rks,chopper,405800,,TRY,in_stock,Rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.,"RKS Svt650x, rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.",false,true,650,Benzin
RKS Srk550,rks-srk550,RKS-SRK550,rks,naked,353200,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Srk550, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,550,Benzin
RKS Srk450ra,rks-srk450ra,RKS-SRK450RA,rks,naked,300600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Srk450ra, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,450,Benzin
RKS M502n,rks-m502n,RKS-M502N,rks,scooter,328000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS M502n, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,502,Benzin
RKS Srv250vs,rks-srv250vs,RKS-SRV250VS,rks,scooter,195400,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS Srv250vs, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,250,Benzin
RKS Rz250s,rks-rz250s,RKS-RZ250S,rks,sport,195400,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"RKS Rz250s, sportif duruş ve performans odaklı bir model.",false,true,250,Benzin
RKS Fort-250,rks-fort-250,RKS-FORT250,rks,touring,195400,,TRY,in_stock,"Konforlu, uzun mesafe sürüşlerine uygun touring model.","RKS Fort-250, konforlu, uzun mesafe sürüşlerine uygun touring model.",false,true,250,Benzin
RKS R250,rks-r250,RKS-R250,rks,sport,195400,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"RKS R250, sportif duruş ve performans odaklı bir model.",false,true,250,Benzin
RKS Blade-350,rks-blade-350,RKS-BLADE350,rks,sport,248000,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"RKS Blade-350, sportif duruş ve performans odaklı bir model.",false,true,350,Benzin
RKS K-light-250,rks-k-light-250,RKS-KLIGHT250,rks,scooter,195400,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS K-light-250, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,250,Benzin
RKS Precio-250-Max,rks-precio-250-max,RKS-PRECIO250MAX,rks,sport,195400,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"RKS Precio-250-Max, sportif duruş ve performans odaklı bir model.",false,true,250,Benzin
RKS Srk250rs,rks-srk250rs,RKS-SRK250RS,rks,naked,195400,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Srk250rs, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,250,Benzin
RKS Rk250s,rks-rk250s,RKS-RK250S,rks,naked,195400,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Rk250s, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,250,Benzin
RKS Blade-250,rks-blade-250,RKS-BLADE250,rks,sport,195400,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"RKS Blade-250, sportif duruş ve performans odaklı bir model.",false,true,250,Benzin
RKS Rz125x,rks-rz125x,RKS-RZ125X,rks,sport,129600,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"RKS Rz125x, sportif duruş ve performans odaklı bir model.",false,true,125,Benzin
RKS Rz125,rks-rz125,RKS-RZ125,rks,sport,129600,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"RKS Rz125, sportif duruş ve performans odaklı bir model.",false,true,125,Benzin
RKS M250,rks-m250,RKS-M250,rks,scooter,195400,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS M250, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,250,Benzin
RKS A250,rks-a250,RKS-A250,rks,adventure,195400,,TRY,in_stock,Uzun yol ve arazi kullanımına uygun adventure model.,"RKS A250, uzun yol ve arazi kullanımına uygun adventure model.",false,true,250,Benzin
RKS Srk125r,rks-srk125r,RKS-SRK125R,rks,naked,129600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Srk125r, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
RKS Sc150re,rks-sc150re,RKS-SC150RE,rks,scooter,142800,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS Sc150re, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,150,Benzin
RKS Srv125,rks-srv125,RKS-SRV125,rks,scooter,129600,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS Srv125, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,125,Benzin
RKS Srk125s,rks-srk125s,RKS-SRK125S,rks,naked,129600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Srk125s, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
RKS Freccia-150,rks-freccia-150,RKS-FRECCIA150,rks,scooter,142800,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS Freccia-150, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,150,Benzin
RKS Reale-125x,rks-reale-125x,RKS-REALE125X,rks,scooter,129600,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS Reale-125x, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,125,Benzin
RKS Reale-125,rks-reale-125,RKS-REALE125,rks,scooter,129600,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS Reale-125, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,125,Benzin
RKS Freccia-125,rks-freccia-125,RKS-FRECCIA125,rks,scooter,129600,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS Freccia-125, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,125,Benzin
RKS Lt50pro-Plus,rks-lt50pro-plus,RKS-LT50PROPLUS,rks,scooter,90100,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","RKS Lt50pro-Plus, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
RKS Lince-125,rks-lince-125,RKS-LINCE125,rks,naked,129600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Lince-125, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
RKS Blackwolf,rks-blackwolf,RKS-BLACKWOLF,rks,chopper,300600,,TRY,in_stock,Rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.,"RKS Blackwolf, rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.",false,true,,Benzin
RKS Vrs-125,rks-vrs-125,RKS-VRS125,rks,naked,129600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Vrs-125, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
RKS Ltr-125,rks-ltr-125,RKS-LTR125,rks,naked,129600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Ltr-125, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
RKS 125n,rks-125n,RKS-125N,rks,naked,129600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS 125n, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
RKS Des-125,rks-des-125,RKS-DES125,rks,naked,129600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Des-125, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
RKS Rk125s,rks-rk125s,RKS-RK125S,rks,naked,129600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"RKS Rk125s, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
RKS Srv700,rks-srv700,RKS-SRV700,rks,touring,432200,,TRY,in_stock,"Konforlu, uzun mesafe sürüşlerine uygun touring model.","RKS Srv700, konforlu, uzun mesafe sürüşlerine uygun touring model.",false,true,700,Benzin
Mondial Tigray-Pro,mondial-tigray-pro,MND-TIGRAYPRO,mondial,naked,73500,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Mondial Tigray-Pro, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,,Benzin
Mondial Tigray-k,mondial-tigray-k,MND-TIGRAYK,mondial,naked,73500,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Mondial Tigray-k, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,,Benzin
Mondial Velomax,mondial-velomax,MND-VELOMAX,mondial,scooter,41000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Velomax, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Mondial 125-Drift-L,mondial-125-drift-l,MND-125DRIFTL,mondial,sport,38200,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"Mondial 125-Drift-L, sportif duruş ve performans odaklı bir model.",false,true,125,Benzin
Mondial Tigray-Max,mondial-tigray-max,MND-TIGRAYMAX,mondial,naked,73500,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Mondial Tigray-Max, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,,Benzin
Mondial X-Treme-Maxx-200i,mondial-x-treme-maxx-200i,MND-XTREMEMAXX200I,mondial,adventure,46400,,TRY,in_stock,Uzun yol ve arazi kullanımına uygun adventure model.,"Mondial X-Treme-Maxx-200i, uzun yol ve arazi kullanımına uygun adventure model.",false,true,200,Benzin
